Nome,Código Degust,Total da Contagem
AGUA CRISTAL C/ GÁS GARRAFA 500ML,339,1.000
AGUA CRISTAL C/ GÁS GARRAFA 500ML,339,2.000
AGUA CRISTAL S/GÁS GARRAFA 500ML,338,5.000
AGUA CRISTAL S/GÁS GARRAFA 500ML,338,5.000
AGUA DE COCO 200ML,18,1.000
AGUA DE COCO 200ML,18,1.000
AGUA DE COCO 350ML,1587,1.000
AGUA DE COCO 350ML,1587,1.000
CAIXA DE CAFE REI DO MATE,1846,0.000
CAIXA DE CAFE REI DO MATE,1846,0.000
CAPPUCCINO LIGHT LATA,20,0.000
CAPPUCCINO LIGHT LATA,20,0.000
CAPPUCCINO TRADICIONAL LATA,22,0.000
CAPPUCCINO TRADICIONAL LATA,22,0.000
CAPPUCCINO LIGHT,19,0.000
CAPPUCCINO LIGHT,19,0.000
CAPPUCCINO TRADICIONAL,21,0.000
CAPPUCCINO TRADICIONAL,21,0.000
CHA CAPIM LIMÃO MELISSA E MARACUJÁ,24,0.000
CHA HIBISCUS LIME,26,0.000
CHA VERDE C/LIMÃO E GENGIBRE,30,0.000
CHA CAMOMILA MELISSA E MENTA,23,0.000
CHA ERVA MATE LEMON GINGER,25,0.000
CHA MATE LIMAO ZERO RDM 350ML,1902,0.000
CHA MATE LIMAO ZERO RDM 350ML,1902,0.000
CHA MATE PESSEGO RDM 350ML,1905,0.000
CHA MATE PESSEGO RDM 350ML,1905,0.000
CHA MATE CHAI,27,0.000
CHA MATE LIMAO RDM 350ML,1904,0.000
CHA MATE LIMAO RDM 350ML,1904,0.000
CHA MATE NATURAL RDM 350ML,1903,0.000
CHA MATE NATURAL RDM 350ML,1903,0.000
CHA MATE VANILLA PEACH,29,0.000
CHA VERDE PET LIMA LIMÃO,31,0.000
CHA VERDE PET LIMA LIMÃO,31,0.000
COCA COLA LIGHT PLUS LATA,302,0.000
COCA COLA LIGHT PLUS LATA,302,0.000
COCA COLA LIGHT PLUS LATA,302,0.000
COCA COLA LATA,300,0.000
COCA COLA LATA,300,0.000
COCA COLA LATA,300,0.000
COCA COLA ZERO LATA,301,0.000
COCA COLA ZERO LATA,301,0.000
COCA COLA ZERO LATA,301,0.000
DEL VALLE NECTAR MANGA 290ML,1704,0.000
DEL VALLE NECTAR MANGA 290ML,1704,0.000
DEL VALLE NECTAR MANGA 290ML,1704,0.000
DEL VALLE NECTAR PESSEGO 290ML,1703,0.000
DEL VALLE NECTAR PESSEGO 290ML,1703,0.000
DEL VALLE NECTAR PESSEGO 290ML,1703,0.000
DEL VALLE NECTAR GOIABA 290ML,1705,0.000
DEL VALLE NECTAR GOIABA 290ML,1705,0.000
DEL VALLE NECTAR GOIABA 290ML,1705,0.000
DEL VALLE NECTAR MARACUJA 290ML,1707,0.000
DEL VALLE NECTAR MARACUJA 290ML,1707,0.000
DEL VALLE NECTAR MARACUJA 290ML,1707,0.000
DEL VALLE NECTAR UVA 290ML,1706,0.000
DEL VALLE NECTAR UVA 290ML,1706,0.000
DEL VALLE NECTAR UVA 290ML,1706,0.000
FANTA LARANJA LATA,305,0.000
FANTA LARANJA LATA,305,0.000
FANTA LARANJA LATA,305,0.000
FANTA UVA LATA,307,0.000
FANTA UVA LATA,307,0.000
FANTA UVA LATA,307,0.000
FANTA GUARANA 350 ML,1562,0.000
FANTA GUARANA 350 ML,1562,0.000
FANTA GUARANA 350 ML,1562,0.000
MINI LATA 220ML COCA,1630,0.000
MINI LATA 220ML COCA,1630,0.000
MINI LATA 220ML COCA,1630,0.000
MINI LATA 220ML FANTA GUARANA,1970,0.000
MINI LATA 220ML FANTA GUARANA,1970,0.000
MINI LATA 220ML FANTA GUARANA,1970,0.000
MINI LATA 220ML FANTA LARANJA,1634,0.000
MINI LATA 220ML FANTA LARANJA,1634,0.000
MINI LATA 220ML FANTA LARANJA,1634,0.000
MINI LATA 220ML FANTA UVA,1633,0.000
MINI LATA 220ML FANTA UVA,1633,0.000
MINI LATA 220ML FANTA UVA,1633,0.000
MINI LATA 220ML SPRITE,1632,0.000
MINI LATA 220ML SPRITE,1632,0.000
MINI LATA 220ML SPRITE,1632,0.000
MINI LATA 220ML COCA ZERO,1631,0.000
MINI LATA 220ML COCA ZERO,1631,0.000
MINI LATA 220ML COCA ZERO,1631,0.000
RED BULL,33,0.000
RED BULL,33,0.000
SCHWEPPES CITRUS 350ML,314,0.000
SCHWEPPES CITRUS 350ML,314,0.000
SCHWEPPES CITRUS 350ML,314,0.000
SPRITE LATA,308,0.000
SPRITE LATA,308,0.000
SPRITE LATA,308,0.000
XAROPE AMARETTO,35,0.000
